Root	Stem 0 / Basic	Stem 1	Stem 2	Stem 3	Contential	Constitutive	S1 Objective	S2 Objective	S3 Objective	S1 Completive	S2 Completive	S3 Completive	Dynamic	S1 Wikidata	S2 Wikidata	S3 Wikidata
gzgy	hydrangeaceae 3	Utah fendlerbush (genus Fendlerella)	deutzia (genus Deutzia)	yellow waxbell, Korean kirengeshoma (genus Kirengeshoma)												
gžgy	jujutsu/aikido/sumo	jujutsu (judo, jiu-jitsu)	aikido	sumo wrestling												
gzgz	cornales	sillyberry (genus Grubbia)	assegai tree/Cape lancewood (genus Curtisia)	other cornales plant (genera Hydrostachys, Diplopanax, Mastixia)												
gzj	uncertainty	uncertainty	discomfiture at being out of one's element/depth	self-doubt/lacking of self-confidence												
gzk	measure of density	density	measuring a density	density measurement system												
gžk	crowbar/cat’s paw/flat bar	crowbar/ripping bar	cat’s paw	flat bar												
gzkf	measure of molar conductivity	molar conductivity	measuring a molar conductivity	molar conductivity measurement system												
gzkl	measure of energy per amount of substance	energy per amount of substance	measuring an energy per amount of substance	energy per amount of substance measurement system												
gzkr	measure of volume occupied by an amount of substance at a given temperature and pressure	volume occupied by an amount of substance at a given temperature and pressure	measuring a volume occupied by an amount of substance at a given temperature and pressure	volume occupied by an amount of substance at a given temperature and pressure measurement system												
gzkř	measure of molar heat capacity/entropy	molar heat capacity	measuring a molar heat capacity	molar heat capacity measurement system												
gzkţ	measure of chemical concentration	chemical concentration	measuring a chemical concentration	chemical concentration measurement system												
gzkw	measure of catalytic activity	catalytic activity	measuring a catalytic activity	catalytic activity measurement system												
gzky	measure of substance concentration	substance concentration	measuring a substance concentration	substance concentration measurement system												
gzl	schist	(an instance/some amount of) schist	a state of being made of schist	characteristics of schist												
gzlw	thoraco-vertebral ligament 2	costotransverse ligament	lumbocostal ligament	radiate ligament												
gzly	vertebral ligament 2	cruciate/transverse ligament of atlas	alar ligament	apical ligament of dens												
gzm	tuff/volcanic tuff	(an instance/some amount of) tuff	a state of being made of tuff	characteristics of tuff												
gzn	pumice	(an instance/some amount of) pumice	a state of being made of pumice	characteristics of pumice												
gzň	sewer	sewer	use of a sewer	being deprived of a functioning sewer												
gzp	recklessness/mischievousness/exhilaration	recklessness/impetuosity	mischievousness/devilishness/spontaneous non-conformity	exhilaration/fear+thrill at taking risk												
gžp	neural tissue	epineurium	perineurium	endoneurium												
gzpf	radon	radon	Rn cation	Rn anion												
gzpl	argon	argon	Ar cation	Ar anion												
gzpļ	oganesson	oganesson	Og cation	Og anion												
gzpr	krypton	krypton	Kr cation	Kr anion												
gzpř	xenon	xenon	Xe cation	Xe anion												
gzpw	helium	helium	He cation	He anion												
gzpy	neon	neon	Ne cation	Ne anion												
gzr	shale	(an instance/some amount of) shale	a state of being made of shale	characteristics of shale												
gzř	autonomic respiratory reactions	feeling need to yawn	feeling need to cough	feeling need to sneeze						yawn	cough	sneeze				
gžr	sports involving projectile and target	archery	target shooting	other sports involving a projectile and target												
gzt	impulsiveness/inspiration/compulsion	impulsiveness	inspiration	compulsion												
gžt	masochism	masochistic pleasure from pain	masochistic pleasure from humiliation	masochism as a personal trait												
gzv	cesspool	cesspool	use of a cesspool	being deprived of a functioning cesspool												
gzvl	gentianaceae 3	felwort, swertia (genus Swertia)	slender marsh-pink, rose gentian, prairie sabatia, meadow pink (genus Sabatia)	Virginia pennywort (genus Obolaria)												
gzvr	gentianaceae 4	ghostplant (genus Voyria)	screwstem (genus Bartonia)	kingwood, tembesu, perfume flower tree (genus Fagraea)												
gzvř	gentianaceae 5	sea rose (genus Orphium)	other gentianaceous plant (other Gentianaceae)	n/a												
gzvw	gentianaceae 1	gentia, agueweed (genera Gentiana, Gentianella, Gentianopsis)	frasera, American columbo, yellow gentian, green gentian, elkweed, deer’s ears/monument plant (genus Frasera)	lisianthus, prairie gentian (genus Eustoma)												
gzvy	gentianaceae 2	centaury, sebaea, quinineweed (genera Centaurium, Sebaea, Zeltnera)	slender cidendia/yellow centaury (genus Cicendia)	Persian violet (genus Exacum)												
gzw	crocodilian	crocodile (genera Crocodylus, Osteolaemus, Mecistops)	alligator, caiman (genera Alligator, Caiman, Paleosuchus)	gharial (genera Gavialis, Tomistoma)												
gzx	septic tank	septic tank	use of a septic tank	being deprived of a functioning septic tank												
gzxl	mastadenovirus 1	human mastadenovirus (Human mastadenovirus A/B/C/D/E/F/G) [-ÇK- common cold, upper repiratory infection]	simian mastadenovirus (Simian mastadenovirus A/B/C/D/E/F/G/H/I)	canine mastadenovirus (Canine mastadenovirus A)												
gzxm	unusual tectiliviricetes	psedoalteromonas phage PM2 (genus Corticovirus)	sulfolobus turreted icosahedral virus (genus Alphaturrivirus)	tectivirus (Tectiviridae)												
gzxr	mastadenovirus 2	bovine mastadenovirus (Bovine mastadenovirus A/B/C)	porcine mastadenovirus (Porcine mastadenovirus A/B/C)	other mastadenovirus (other Mastadenovirus)												
gzxw	adenoviridae	frog siadenovirus (genus Siadenovirus)	avian adenovirus (genus Aviadenovirus)	adenovirus (genera Atadenovirus, Ichtadenovirus)												
gzy	sauropsid	dinosaur, pterosaur, aphanosaur (Avemetarsalia except birds)	extinct non-dinsosaurian reptile (Eureptilia except Avemetarsalia)	parareptile (extinct non-reptilian sauropsids)												
gzz	elation/euphoria/ecstasy	elation	euphoria/bliss	ecstasy												
gžž	corruption	moral/ethical corruption	legal/business/governmental corruption	material corruption												
gzzbl	Canavan disease	state of being in Canavan disease	state of manifesting/displaying a symptom of Canavan disease	state of physical or mental incapacity/impairment/weakness/decrepitude due to Canavan disease												
gzzbr	Coffin-Lowry syndrome	state of being in Coffin-Lowry syndrome	state of manifesting/displaying a symptom of Coffin-Lowry syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Coffin-Lowry syndrome												
gzzbř	Cri du chat	state of being in Cri du chat	state of manifesting/displaying a symptom of Cri du chat	state of physical or mental incapacity/impairment/weakness/decrepitude due to Cri du chat												
gzzbw	Di George's syndrome	state of being in Di George's syndrome	state of manifesting/displaying a symptom of Di George's syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Di George's syndrome												
gzzby	Erythropoietic protoporphyria	state of being in Erythropoietic protoporphyria	state of manifesting/displaying a symptom of Erythropoietic protoporphyria	state of physical or mental incapacity/impairment/weakness/decrepitude due to Erythropoietic protoporphyria												
gzzdl	FG syndrome	state of being in FG syndrome	state of manifesting/displaying a symptom of FG syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to FG syndrome												
gzzdr	GRACILE syndrome	state of being in GRACILE syndrome	state of manifesting/displaying a symptom of GRACILE syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to GRACILE syndrome												
gzzdř	Hereditary inclusion body myopathy	state of being in Hereditary inclusion body myopathy	state of manifesting/displaying a symptom of Hereditary inclusion body myopathy	state of physical or mental incapacity/impairment/weakness/decrepitude due to Hereditary inclusion body myopathy												
gzzdw	Hurler syndrome	state of being in Hurler syndrome	state of manifesting/displaying a symptom of Hurler syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Hurler syndrome												
gzzdy	Incontinentia pigmenti	state of being in Incontinentia pigmenti	state of manifesting/displaying a symptom of Incontinentia pigmenti	state of physical or mental incapacity/impairment/weakness/decrepitude due to Incontinentia pigmenti												
gzzfl	Krabbe disease	state of being in Krabbe disease	state of manifesting/displaying a symptom of Krabbe disease	state of physical or mental incapacity/impairment/weakness/decrepitude due to Krabbe disease												
gzzfr	Maple syrup urine disease	state of being in Maple syrup urine disease	state of manifesting/displaying a symptom of Maple syrup urine disease	state of physical or mental incapacity/impairment/weakness/decrepitude due to Maple syrup urine disease												
gzzfř	Methemoglobinemia	state of being in Methemoglobinemia	state of manifesting/displaying a symptom of Methemoglobinemia	state of physical or mental incapacity/impairment/weakness/decrepitude due to Methemoglobinemia												
gzzfw	Muscular dystrophy	state of being in Muscular dystrophy	state of manifesting/displaying a symptom of Muscular dystrophy	state of physical or mental incapacity/impairment/weakness/decrepitude due to Muscular dystrophy												
gzzfy	Nonsyndromic deafness	state of being in Nonsyndromic deafness	state of manifesting/displaying a symptom of Nonsyndromic deafness	state of physical or mental incapacity/impairment/weakness/decrepitude due to Nonsyndromic deafness												
gzzgl	18p deletion syndrome	state of being in 18p deletion syndrome	state of manifesting/displaying a symptom of 18p deletion syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to 18p deletion syndrome												
gzzgr	achondroplasia	state of being in achondroplasia	state of manifesting/displaying a symptom of achondroplasia	state of physical or mental incapacity/impairment/weakness/decrepitude due to achondroplasia												
gzzgř	alkaptonuria	state of being in alkaptonuria	state of manifesting/displaying a symptom of alkaptonuria	state of physical or mental incapacity/impairment/weakness/decrepitude due to alkaptonuria												
gzzgw	Angelman syndrome	state of being in Angelman syndrome	state of manifesting/displaying a symptom of Angelman syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Angelman syndrome												
gzzgy	Björnstad syndrome	state of being in Björnstad syndrome	state of manifesting/displaying a symptom of Björnstad syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Björnstad syndrome												
gzzmw	Tumor necrosis factor receptor-associated periodic syndrome (TRAPS)	state of being in Tumor necrosis factor receptor-associated periodic syndrome (TRAPS)	state of manifesting/displaying a symptom of Tumor necrosis factor receptor-associated periodic syndrome (TRAPS)	state of physical or mental incapacity/impairment/weakness/decrepitude due to Tumor necrosis factor receptor-associated periodic syndrome (TRAPS)												
gzzmy	Wilson disease	state of being in Wilson disease	state of manifesting/displaying a symptom of Wilson disease	state of physical or mental incapacity/impairment/weakness/decrepitude due to Wilson disease												
gzznw	47,XXX (triple X syndrome)	state of being in 47,XXX (triple X syndrome)	state of manifesting/displaying a symptom of 47,XXX (triple X syndrome)	state of physical or mental incapacity/impairment/weakness/decrepitude due to 47,XXX (triple X syndrome)												
gzzvl	Porphyria cutanea tarda (PCT)	state of being in Porphyria cutanea tarda (PCT)	state of manifesting/displaying a symptom of Porphyria cutanea tarda (PCT)	state of physical or mental incapacity/impairment/weakness/decrepitude due to Porphyria cutanea tarda (PCT)												
gzzvr	Porphyria	state of being in Porphyria	state of manifesting/displaying a symptom of Porphyria	state of physical or mental incapacity/impairment/weakness/decrepitude due to Porphyria												
gzzvř	Rett syndrome	state of being in Rett syndrome	state of manifesting/displaying a symptom of Rett syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Rett syndrome												
gzzvw	Sickle cell anemia	state of being in Sickle cell anemia	state of manifesting/displaying a symptom of Sickle cell anemia	state of physical or mental incapacity/impairment/weakness/decrepitude due to Sickle cell anemia												
gzzvy	SSB syndrome (SADDAN)	state of being in SSB syndrome (SADDAN)	state of manifesting/displaying a symptom of SSB syndrome (SADDAN)	state of physical or mental incapacity/impairment/weakness/decrepitude due to SSB syndrome (SADDAN)												
j	ten	set/group of ten entities	something with ten aspects/facets	tenth entity in a sequence												
jb	2D decorative pattern/texture	simple 2D design/pattern	complex 2D design/pattern	2D texture												
jbl	flattened bullet shape	flattened bullet shape	flattened bullet shape 3D extension	negative space of a flattened bullet shape												
jbr	restlessness/nervousness/hysteria	restlessness/disquietude/tension	nervousness/agitation	hysteria/loss of emotional control												
jbř	offering credit⬌being in/paying off debt	offering credit⬌being in/paying off debt relationship	offering credit	being in/paying off debt												
jbv	lending⬌borrowing	lending⬌borrowing relationship	lending	borrowing												
jbw	rental	renting	renting a service/entity	offering a service/entity for rent												
jby	leasing	leasing	leasing a service/entity	offering a service/entity for lease												
jd	twelve	set/group of twelve entities	something with twelve aspects/facets	twelfth entity in a sequence												
jḑ	predicament/crisis/dilemma	being in/facing a predicament	being in/facing a crisis	being in/facing a dilemma												
jdl	lesion/abrasion/wound	lesion	abrasion	wound												
jdr	emotional stress/pressure	emotional stress/pressure	being at emotional breaking-point	being on the verge of lost of control of one's composure								loss of emotional control				
jdř	organ failure/arrest/hyperactivity	organ failure (insufficiency)	organ arrest (complete shutdown)	organ hyperactivity												
jdv	numbness/“pins & needles” feeling	"feeling that a limp has ""fallen asleep"""	"""pins & needles"" feeling in one's limb"	"feeling internal numbness/""dead"" feeling"												
jdw	affective tactile reactions	"feeling ""a thrill down one's spine"""	"feeling one's ""hairs standing on the back of one's neck"""	"""having the creeps/willies"""												
jdy	stent/tubing/valve	stent	tubing	valve												
jf	indecisiveness/fickleness/unreliability	being indecisive	being fickle	being unreliable												
jfl	phaseoleae 3	pigeon pea/Congo pea (genus Cajanus)	snout-bean, jumby-bean/burn-mouth-vine (genus Rhynchosia)	luck plant/wild hops, sohphlang (genus Flemingia)												
jfm	phaseoleae 6	coral tree, flame tree, cock’s spur, coral bean/Cherokee bean/red cardinal/cardinal spear, lucky bean tree, mulungu, mandara, tiger’s claw/sunshine tree/roluos tree, ploughbreaker, erythrina (genus Erythrina)	deer-eye bean/donkey-eye bean/ox-eye bean/hamburger seed (genus Mucuna)	jade vine/emerald vine (genus Strongylodon)												
jfn	phaseoleae 7	potato bean/Indian potato/American groundnut/cinnamon vine/America-hoidomo/groundnut (genus Apios)	other phaseolean bean (other Phaseoleae)	n/a												
jfr	phaseoleae 4	clusterpea (genus Dioclea)	jack-bean, barbicou-bean, giant stock-bean/gotani-bean/horse-bean/seaside-bean/wonder-bean, sword bean/scimitar-bean, Cathie’s bean, bay bean/beach-bean/fire-bean/Mackenzie-bean (genus Canavalia)	milk pea/beach pea/wild pea (genus Galactia)												
jfř	phaseoleae 5	kennedia, coral vine, black coral pea, purple running pea, running postman, dusky coral pea (genus Kennedia)	native lilac/wild sarsaparilla/wisteria climber, false sarsaparilla/purple coral pea/happy wanderer/waraburra (genus Hardenbergia)	flame-of-the-forest/bastard teak (genus Butea)												
jfw	phaseoleae 1	soybean/soya bean, wild soybean, glycine, love creeper (genus Glycine)	jicama plant/yam bean, ahipa/Andean yam bean, goiteño/nupe/jacatupe/Amazonian yam bean (genus Pachyrhizus)	kudzu/Japanese arrowroot, puero, East Asian arrowroot (genus Pueraria)												
jfy	phaseoleae 2	pigeon wings, blue pea/butterfly pea/cordofan pea/Darwin bea/bluebellvine (genus Clitoria)	butterfly pea/wild blue vine/blue bell, centro (genus Centrosema)	hogpeanut (genus Amphicarpaea)												
jg	dimensional attribute	degree of a dimensional attribute	decrease in a dimensional attribute	increase in a dimensional attribute												
jgl	world-weariness	world-weariness	Weltschmerz/world-pain	feeling of futility from transience and seeming meaninglessness of life and universe												
jgr	disappointment/disillusionment/jadedness/cynicism	disappointment	disillusionment	jadedness/cynicism												
jgř	adipose tissue (fat)	(have) adipose tissure/fat	blubber	cellulite												
jgv	measure of 3D volume	3D volume	measuring a 3D volume	3D volume measurement system												
jgw	measure of linear dimension (length/width/height/circumference)	linear dimension	measuring a linear dimension	linear dimension measurement system												
jgy	measure of planar area	planar area	measuring a planar area	planar area measurement system												
jh	degree of physical control	degree of physical control	degree of dexterity/finesse	degree of potential control to hold/restrain												
jj	dig/hole	digging	removing material via digging	leaving behind a concavity via digging												
jjw	blender †	blender														
jk	bravery/fearlessness	willingness to take a risk	bravery, fearlessness	intrepidity, courageousness												
jkç	contemplation	contemplation	pensiveness	brooding												
jkf	personal taste/preference/proclivity/inclination	personal taste/preference	proclivity	inclination												
jkh	staircase shape	staircase shape	staircase shape 3D extension	negative space of a staircase shape												
jkl	W-shape	W-shape	W-shape 3D extension	negative space of a W-shape												
jkr	sawtooth shape	sawtooth shape	sawtooth shape 3D extension	negative space of a sawtooth shape												
jkř	abnormal bodily growth	cyst	bodily nodule/amorphous malformation/placque	tumor												
jkţ	workspace	workbench	countertop	drawing board												
jkw	tendency/preference/inclination/aptness	tendency	preference/inclination	aptness												
jky	trend/predisposition/bias	trend	bias	predisposition												
jl	mountainous topography	elevated land, a hill/mountain	peak, single elevated upwelling	plateau/butte/mesa												
jļ	spatial gap	degree of spatial gap	decrease in spatial gap	increase in spatial gap												
jlw	spinal (intervertebral) disc	anulus fibrosus	nucleus pulposus	tectorial membrane of atlanto-axial joint												
jly	vertebral ligament 4	supraspinous/nuchal ligament	interspinous ligament	intertransverse ligament												
jm	degree of open-mindedness/sympathy/tolerance* (lžv)	degree of open-mindedness	being able to see the world from a relative perspective	degree of sympathy/tolerance/impartiality												
jmw	hand as flat rigid blade	hand as blade	hand as jabber/poker	hand as covering												
jmy	closed fist	fist for pounding/hammering	fist for hitting/punching	hand for knocking												
jn	length	degree of length	decrease in length	increase in length												
jň	opposition/fighting/defiance	being opposed to something/someone	working against something/someone	fighting, being violent towards something/someone												
jnw	attribution/credit/public recognition	attribution	public recognition	credit												
jňw	treeshrew	Indian treeshrew (genus Anathana)	Asian treeshrew (genus Dendrogale, Tupaia)	pen-tailed treeshrew (genus Ptilocercus)												
jny	calomel (mercurous chloride)	calomel	chemical reaction of calomel	energy released from chemical reaction of calomel												
jp	straightening/alignment	straighten (by design)	straighten out (fix bent object)	align (rectilinear shape)												
jpç	phaseolinae 1	corkscrew vine/snail vine/snail creeper/snailflower/snail bean (genus Cochliasanthus)	okie bean/Cape sweet-pea/dolichos pea/mile-a-minute vine (genus Dipogon)	lablab-bean/hyacinth bean, bonavist bean/bonavist pea/Egyptian kidney bean/Indian bean/Australian pea/bataw (genus Lablab)												
jpf	vigna 2	black gram/black lentil/white lentil/urd-bean/urad bean (Vigna mungo)	rice bean/red bean/climbing mountain bean/mambi bean/Oriental-bean (Vigna umbellata)	moth bean/mat bean/Turkish gram, creole-bean, jungle mat bean/jungli-bean/African gram/three-lobe-leaved cowpea, zombi pea/wild cowpea, sarawak-bean, Dalrymple vigna, Bambara groundnut/Congo goober/hog-peanut/jugo bean, pencil yam/Maloga-bean/parsnip-bean, dune-bean/notched cowpea/sea-bean, Oahu cowpea, creeping vigna, other Vigna bean (other genus Vigna)												
jph	cheek/chin/jaw	cheek	chin	jaw												
jpl	other phaseolus species 1	runner bean plant (Phaseolus coccineus)	tepary bean plant (Phaseolus acutifolius)	year bean plant (Phaseolus dumosus)												
jpļ	phaseolinae 3	wild sweet-pea, African yam bean (genus Sphenostylis)	wild bean, fuzzybean, amberique-bean/annual sand bean (genus Strophostyles)	other phaseoline bean (other Phaseolinae)												
jpr	other phaseolus species 2	lima/butter bean plant (Phaseolus lunatus)	spotted bean plant (Phaseolus maculatus)	slimjim bean plant, other phaseolus bean plant (other genus Phaseolus)												
jpř	vigna 1	cowpea, black-eyed pea, crowderpea, Chinese long-bean/pea-bean (Vigna unguiculata)	adzuki bean (Vigna angularis)	mung bean/green gram/golden gram/mash bean/green soybean/celera-bean/Jerusalem-pea (Vigna radiata)												
jpţ	phaseolinae 2	purple bush-bean, supine bean (genus Macroptilium)	ground bean/Kersting’s groundnut, horse gram/kulthi (genus Macrotyloma)	winged bean/goa bean/four-angled bean/four-cornered bean/manila bean/princess bean/asparagus bean/dragon bean/cigarrillas (genus Psophocarpus)												
jpw	phaseolus vulgaris (common bean) 1	kidney/red bean plant	white/navy bean plant	cannellini bean plant												
jpy	phaseolus vulgaris (common bean) 2	pinto bean plant	black turtle bean plant	flageolet bean plant												
jr	ride/drive/transport	riding/driving	being a passenger transported/conveyed	transportation												
jř	gastro-intestinal paroxysm 1	feel need to burp	experience a hiccup	experience gagging						burp						
jt	familiarity/custom/tradition	something familiar	something customary	something traditional												
jţ	penetration/driving into/injection	penetrating through a 2D surface	(forcefully) driving into a 2D surface	injecting												
jtç	modern firearm 3	multi-barrel firearm	grenade launcher	anti-tank rifle												
jtf	urological organ	urethra	ureter	cloaca												
jth	violence/fighting/war	violence	fighting	war/enmity												
jtl	modern firearm 1	handgun/pistol/revolver	rifle	carbine												
jtļ	lapis lazuli	(an instance/some amount of) lapis lazuli	a state of being made of lapis lazuli	characteristics of lapis lazuli												
jtr	sock	wearing a sock as protection	wearing a sock as fashion	wearing a sock as an indicator												
jtř	modern firearm 2	submachine gun	machine gun	grenade launcher												
jţr	artificial fountain	fountain	use of fountain	being deprived of a functioning fountain												
jtw	large gunpowder weapon	hand cannon	bombard/mortar	cannon												
jty	early firearm	arquebus/caliver/hackbut/harquebus	culverin/musket	blunderbuss/shotgun												
jv	cooperation/team/alliance	cooperating	forming a team, teaming up with	alliance												
jvl	firearm-launched projectile	ball (projectile)	shot	bullet												
jvr	pettiness/fussiness/finickiness	pettiness	fussiness/finickiness	need for meddling/interfering												
jvř	rocket launcher	bazooka/RPG/gyrojet	tank gun	rocket pod												
jvw	large gunpowder or rocket-launched projectile	cannon ball	grenade or other non-self-powered explosive projectile	self-powered explosive or warhead-containing projectile/missile												
jvy	collaboration/collusion/conspiracy	collaboration	collusion	conspiracy												
jw	laughter	laugh	snicker	chuckle												
jx	grated texture	2D grated texture	3D grated texture	malleable grated texture												
jxl	bomb	explosive/incendiary device/bomb	grenade	depth charge												
jxr	colander/strainer/grater/salad spinner	colander/strainer	grater	salad spinner												
jxw	amphibian	🐸 frog/toad (Salientian)	salamander/newt (Caudatan)	snake-/worm-like amphibian (Gymnophione/caecilian)												
jy	water channel between land masses/bay/inlet	channel-like body of water allowing passage between two land masses	bay	narrow river-like inlet (on a body of water)												
k	behind (0/-Y/0)	position behind	backward	from behind												
kb	association/dealing with/relation to/engagement with	dealing with	pertaining to	becoming involved with												
kbl	scandiceae 3	sweet cicely/sweetroot (genus Osmorhiza)	shepherd’s-needle/Stork’s needle/Venus’ comb (genus Scandix)	hedge parsley, false carrot (other Scandiceae)												
kbr	saniculeae 1	sanicle, black snakeroot, turkey pea (genus Sanicula except Sanicula epipactis)	eryngo, sea holly, rattlesnake master, beethistle, coyote thistle, snakeroot, blue devil, button-celery, prickfoot (genus Eryngium)	masterwort (genus Astrantia)												
kbř	saniculeae 2	hacquetia (Sanicula epipactis)	other sanicle-like plant (genera Actinolema, Alepidea, Arctopus, Petagnaea)	n/a												
kbw	scandiceae 1	🥕 carrot plant (genus Daucus)	cumin (genus Cuminum)	chervil (genus Anthriscus)												
kby	scandiceae 2	galbanum plant, asafoetida plant, giant fennel (genus Ferula)	hairyfruit chervil/Southern chervil, bulbous chervil/parsnip chervil (genus Chaerophyllum)	myrrh/cicely/sweet chervil (genus Myrrhis)												
kc	seed/fruit/nut/tuber	seed/pit of a plant	fruit/nut of a plant	bulb/tuber of a plant												
kč	outward reach	degree of reach	decrease in reach	increase in reach												
kç	cut/stab/crack	cutting something with a blade/force	stabbing something	making a crack/rent in something												
kçç	frustration/upsetness/disconcertedness	frustration/exasperation	upsetness	disconcertedness/defeatedness												
kçk	physical disability due to injury	state of licing with a state/permanent physical or mental disability (i.e., not disease-related, e.g., missing a limb, paralysis due to a war injury, blindness due to an accident, etc.)	state of living with a temporary physical or mental disability (i.e., not disease-related, e.g., a broken leg, blindness while recovering from eye surgery, etc.)	state of using/living with a prosthetic or adaptive device or process or routine to compensate for a physical disability												
kçm	balcony/landing/mezzanine/loft	balcony (outdoor)	landing (at the end of a stretch of stairs)	mezzanine/loft (partial floor/story above a full one)												
kçn	map/diagram/blueprint	🗺️ map	diagram	blueprint												
kçp	coffee maker †	rice cooker														
kçpf	calcium oxychloride (i.e. bleaching powder)	calcium oxychloride	chemical reaction of calcium oxychloride	energy released from chemical reaction of calcium oxychloride												
kçpl	pressure cooker †	pressure cooker														
kçpr	crockpot †	crockpot														
kçpw	microwave cooker †	microwave cooker														
kçt	decoration/fanciness/ornateness/ornamentation	decoration	fanciness	ornateness/ornamentation												
kd	hard/rigid texture	hard/rigid	hard/rigid and naturally smooth	hard/rigid and naturally rough												
kḑ	caustic/burning sensation	burning sensation	caustic/corrosive sensation	irritating sensation												
kdl	oenantheae 3	yampa/yampah, squaw potato, Sierra Queen Anne’s lace (genus Perideridia)	water parsnip (genus Sium)	other oenanthid plant (other Oenantheae)												
kdr	mackinlayoideae 1	platysace, karna, karno, tapeworm plant, Ravensthorphe radish, carrot tops (genus Platysace)	flannel flower (genus Actinotus)	Asiatic pennywort/Indian pennywort (genus Centella)												
kdř	mackinlayoideae 2	xanthosia, southern cross (genus Xanthosia)	other mackinlayoid plant (Mackinlayoideae except genera Actinotus, Centella, Xanthosia)	n/a												
kdw	oenantheae 1	water parsnip (genus Berula)	water hemlock (genus Cicuta)	honewort (genus Cryptotaenia)												
kdy	oenantheae 2	harperella, bishopweed, laceflower (genus Ptilimnium)	grasswort, mudflat quillplant (genus Lilaeopsis)	water dropwort, Chinese celery/Indian pennywort/Japanese parsley/water celery (genus Oenanthe)												
kf	back/rear	back	built-in back	separable back												
kff	indifference/disdain/apathy	nonchalance/indifference/incuriosity/interestlessness	disdain/dismissiveness	apathy												
kfk	playing card/chip	standard playing card	specialized playing card (e.g., tarot card)	playing/gambling chip or token												
kfkç	crazy eights/daihinmin/Cheat	crazy eights	daihinmin/Tycoon	Cheat/I Doubt It/Bluff												
kfkl	matching-type card game	rummy	go fish	other matching-type card game												
kfkm	"""shredding""-type card game"	switch/last card/two four jacks	one-card	"other ""shredding""-type card game"												
kfkn	unusual card game	solitaire/patience-type card game	drinking game with cards (alcohol imbibement)	other card game												
kfkr	war/catch-and-collect type card game	war-type card game	slapjack	other catch-and-collect type card game												
kfkř	poker/blackjack/baccarat	poker	blackjack	baccarat												
kfkţ	bastra/cassino/gambling game	bastra	cassino	card-based gambling game												
kfkw	bridge/whist/euchre	bridge (card game)	whist	euchre												
kfky	"spades/500/""trick-taking"" card game"	spades	500 (card game)	"unusual ""trick-taking"" card game"												
kfl	sea anemone	sea anemone (Actiniaria)	zoanthid coral (Zoantharia)	tube-dwelling anemone (Penicillaria, Spirularia)												
kfm	ctenophore/placozoan	comb jelly, Venus girdle (Tentaculate)	beroid/cigar comb jelly (genera Beroe, Neis)	placozoan (genera Trichoplax, Hoilungia, Polyplacotoma)												
kfn	parasitic cnidarian	polypodium (genus Polypodium)	myxosporean myxozoan (Myxosporea)	saccosporid myxozoan (genera Buddenbrockia, Tetracapsuloides)												
kfp	hydrozoan	hydroid, polyp (Hydrozoa in hydroid or polypoid stage)	hydrozoan jelly, medusa (Hydrozoa in medusoid stage)	siphonophore/colonial hydrozoan, Portuguese man o’war (Siphonophorae)												
kfr	hexacoralline coral	stony/hard coral (Scleractinia)	mushroom coral, elephant ear anemone (Corallimorpharia)	black/thorn coral (Antipatharia)												
kfř	octocoralline coral	sea pen, sea pansy (Pennatulacea)	soft coral, sea fan, sea whip, gorgonian (Alcyonaea)	soft coral (genera Heliopora, Nanipora)												
kft	jellyfish	🪼 jellyfish (Coronamedusae, Discomedusae)	box jellyfish (Cubozoa)	stalked jellyfish (Stauromedusae)												
kftç	oil of vitriol (sulfuric acid)	oil of vitriol	chemical reaction of oil of vitriol	energy released from chemical reaction of oil of vitriol												
kfth	formalin/aqueous formaldehyde solution	formalin	chemical reaction of formalin	energy released from chemical reaction of formalin												
kfthw	muriatic acid (hydrochloric acid)	muriatic acid	chemical reaction of muriatic acid	energy released from chemical reaction of muriatic acid												
kftl	rubbing alcohol/isopropyl alcohol	rubbing alcohol	chemical reaction of rubbing alcohol	energy released from chemical reaction of rubbing alcohol												
kftr	vinegar (acetic acid)	vinegar	chemical reaction of vinegar	energy released from chemical reaction of vinegar												
kftř	glycerin (trihydroxy propanol)	glycerin	chemical reaction of glycerin	energy released from chemical reaction of glycerin												
kftw	acetone	acetone	chemical reaction of acetone	energy released from chemical reaction of acetone												
kfty	ammonia	ammonia	chemical reaction of ammonia	energy released from chemical reaction of ammonia												
kfw	porifera (sea sponge) 1	calcareous sponge (Calcarea)	glass sponge (Hexactinellida)	coralline sponge (Demospongiae)												
kfy	porifera (sea sponge) 2	spiculate sponge (Plakinidae)	slime sponge, aspiculate sponge (genera Oscarella, Pseudocorticium)	n/a												
kh	degree of nuance/cunning/stealth	degree of nuance/subtlety	degree of cunning/guile	degree of stealth												
khw	semi-conscious respiratory reaction	sighing	huffing (e.g., of indignation)	puffing/blowing out breath (e.g., of relief)												
