Root	Stem 0 / Basic	Stem 1	Stem 2	Stem 3	Contential	Constitutive	S1 Objective	S2 Objective	S3 Objective	S1 Completive	S2 Completive	S3 Completive	Dynamic	S1 Wikidata	S2 Wikidata	S3 Wikidata
bkl	eragrostideae	teff grass (Eragrostis tef)	lovegrass, canegrass, cause grass (genus Eragrostis except Eragrostis tef)	robies cocksfoot, thimble grass/Zulu fescue, other eragrostid grass (Eragrostideae except genus Eragrostis)												
bkm	chloridoideae	centropodiid grass (genera Centropodia, Ellisochloa)	triraphid grass (Triraphideae)	other chloridoid grass (genera Gossweilerochloa, Indopoa, Lepturopetium, Myriostachya, Pogonochloa, Pseudozoysia, Silentvalleya)												
bkr	eleusininae	finger millet grass (Eleusine coracana)	oosegrass, wiregrass, crowfootgrass, yard-grass (genus Eleusine other than Eleusine coracana)	caterpillar grass, windmill grass, Mitchell grass, Bermuda grass/dog’s tooth grass (Eleusininae except genus Eleusine)												
bkř	zoysieae	zoysia/zoysiagrass, mascarene grass/Korean velvet grass, Korean lawngrass, Manila grass (genus Zoysia)	dropseed, sacaton grass, fairy grass/yakka grass, smut grass, giant rat’s-tail grass, poverty grass, salt grass (genus Sporobolus)	other zoysiid grass (genera Psilolemma, Urochondra)												
bkţ	cynodonteae 2	eyelashgrass, desertgrass, desert fluff-grass, woollygrass, burrograss, Eureka dunegrass, false buffalograss (Scleropogoninae)	Colusa grass, Orcutt grass (genera Orcuttia, Neostapfia)	fiveminute grass, grama grass, pappusgrass, burr grass, carrot-seed grass, Texasgrass, sandgrass, skeletongrass, curly mesquite, other cynodontid grass (other Cynodonteae)												
bkw	oryzeae 1	wild rice, Canada rice, Indian rice, water oats (genus Zizania)	giant cutgrass/water millet/southern wildrice (genus Zizaniopsis)	wild rice grass (genera Oryza, Maltebrunia, Prosphytochloa, Chikusichloa, Rhynchoryza except Oryza sativa, Oryza glaberrima, Oryza rufipogon)												
bky	oryzeae 2	cutgrass, whitegrass, swamp rice grass (genus Leersia)	Hastings River reed (genus Potamophila)	watergrass (genera Luziola, Hygroryza)												
bl	motion in a curve	curved movement	curved movement approaching topical referent	curved movement receding from topical referent												
bn	channel/steer/aim	channeling (direct a course through a conduit)	steering (manually directing a course)	aiming (at/for something)												
bň	degree of natural capacity/talent/skill	degree of natural capacity/ability	degree of natural talent/aptitude/adeptness	degree of natural virtue/desired behaviour												
br	perpendicular-planar translative motion	lateral movement perpendicular to path/orientation	left-to-right movement relative to referent	right-to-left movement relative to referent												
bř	irrationality/mental illness	state of irrationality	having a non-violent psychological disorder	state of violent/dangerous madness/insanity												
bs	religious belief/worship	holding a religious belief	member of an organized religion	worshipping of a religious deity												
bš	soft texture	soft like a cushion	downy texture	curvaceous/smooth/squeezable texture												
bšk	orator⬌audience member	orator⬌audience member relationship	orator/speech-r	audience member												
bšp	authority⬌petitioner	authority⬌petitioner relationship	authority	petitioner												
bšt	religious leader⬌disciple	religious leader⬌disciple relationship	religious leader	religious disciple												
bt	triticum (wheat) 1	common/bread wheat grass (Triticum aestivum)	durum/pasta wheat grass (Triticum durum)	spelt/dinkel wheat grass (Triticum spelta)												
bţ	wet/moist texture	wet/liquidy	moist/damp	soggy/waterlogged												
btç	pooideae 1	oatgrass, junegrass, vernal grass/hornwort, bentgrass, hairgrass, button-grass, plumegrass, hedgehog grass, false mannagrass, swamp wallaby grass, beard grass/rabbitsfoot grass, nit grass, Ozark grass, shining grass, silkybent grass, windgrass (Aveninae, Torreyochloinae, Phalaridinae, Anthoxanthinae, Brizinae, Echinopogoninae, Calothecinae, Paramochloinae, Agrostidinae except Avena sativa, Avena nuda, Avena abyssinica)	meadow-grass, bluegrass, tussock, snow-grass, sussock-grass, muttonbird poa, quaking grass, pendant grass, hardgrass, alkali grass, salt grass, saltmarshgrass, fescue, pinegrass, blue bunchgrass, pseudovina, English bluegrass, fescue tussock, ryegrass, cock’s-foot grass, orchard grass, hair grass, tussock grass, sandgrass, common rivergrass, giant mountain grass, timothy grass, sloughgrass, woodreed, foxtail grass, hooded grass (Poinae, Scolochloinae, Sesleriinae, Airinae, Holcinae, Aristaveninae, Loliinae, Dactylidinae, Cynosurinae, Ammochloinae, Parapholiinae, Coleanthinae, Poinae, Miliinae, Phleinae, Beckmanniinae, Cinninae, Alopecurinae, Ventenatinae, genera Avenula, Arctagrostis, Dupontia, Dupontiopsis, Hookerochloa, Nicoraepoa, Oreopoa, Saxipoa, Sylvipoa)	brome, chess grass, cheat grass, quake grass, bull grass, rescue grass/Australian oat, false brome, tor-grass (genera Bromus, Littledalea, Brachypodium)												
btf	pooideae 2	matgrass (genus Nardus)	esparto grass/cord grass/albardine (genus Lygeum)	oat speargrass (Duthieeae)												
bth	avena (oat)	common oat grass (Avena sativa)	naked oat/hulless oat grass (Avena nuda)	Ethiopian oat grass (Avena abyssinica)												
btl	other triticeae 1	wheatgrass (genus Agropyron)	goatgrass (genus Aegilops)	couch grass, wildrye, bottlebrush grass, lyme grass, dune grass, strand grass/strand-wheat, squirreltail (genus Elymus)												
btļ	pooideae 4	breakgrain/break grass (genera Diarrhena, Neomolinia)	beach grass, marram grass (genus Ammophila)	other pooid grass (genera Brachyelytrum, Phaenosperma, Brylkinia)												
